,alpha,beta,delta_m,lam,lamb,mmin,mpp,mu_chi,mu_spin,sigma_chi,sigma_spin,sigpp,xi_spin
94,3.6153374,-0.17665589,7.2023935,0.013155795,4.492482,4.116111,34.672405,0.11512281,0.21365058,0.27153298,0.27248248,3.3379164,0.94880855
95,3.90174,1.4081082,3.941542,0.023303842,4.463516,5.956609,33.584248,0.17363822,0.08475292,0.20171857,0.31144089,2.8009765,0.7850943
96,3.7699633,0.6831987,4.0000515,0.01548401,5.5852976,5.1969566,32.872135,0.1084189,0.13529003,0.29556963,0.34820494,3.724244,0.9045677
97,3.6824312,1.0545084,4.0261326,0.017771432,5.680311,5.4558883,33.614296,0.114869885,0.1065197,0.26828447,0.3140194,4.495437,0.85930794
98,3.7984605,0.9280071,4.616108,0.022179315,5.518285,5.275161,31.862366,0.1320335,0.10976708,0.28277957,0.38782483,3.6740558,0.75754553
99,3.5324702,0.34511185,6.061308,0.01281304,5.1950026,4.5292044,33.486816,0.14898707,0.17880201,0.27344707,0.4304527,1.4474429,0.85804653
100,3.6524901,1.8029561,3.1371298,0.03420808,4.5595093,5.7800565,31.27637,0.18276003,0.08562708,0.27468345,0.28732356,3.0098329,0.8024246
101,4.0295467,3.7970276,4.8269186,0.01633884,4.2595177,5.07616,32.23314,0.15169367,0.15789437,0.26418427,0.22094053,4.597174,0.7612901
102,3.7857804,-0.6442572,5.5632343,0.01786026,4.936121,4.834565,35.264465,0.18300469,0.09196937,0.16789746,0.21310334,2.27135,0.76971996
103,3.946879,2.6380434,4.57751,0.03125062,3.9437723,5.322522,32.41285,0.2401022,0.16257691,0.23440385,0.4109487,4.061032,0.9409288
104,3.6560588,-0.01878059,5.034219,0.013265989,5.5827284,4.8054924,35.258118,0.14041628,0.13384378,0.322517,0.3515938,1.4861976,0.92112875
105,3.6772304,1.6071877,3.2862315,0.028204123,3.4449406,5.462426,33.341003,0.2641106,0.14500809,0.18985204,0.3319236,2.8225374,0.7921273
106,3.6525893,-0.40894723,5.425762,0.016769115,4.7977333,5.360098,33.923508,0.27073413,0.11924386,0.18286905,0.3119772,3.4924388,0.9557272
107,3.8112822,2.274932,4.0422873,0.023687057,4.135296,5.7623096,33.008,0.120808855,0.15057313,0.30891833,0.36600617,3.3175354,0.9819709
108,3.7453418,-0.18295097,6.119464,0.017462494,5.070072,4.8070407,33.979736,0.20873201,0.18075073,0.2127113,0.24268822,2.5429144,0.95957506
109,3.8072362,1.8591456,5.281621,0.022480289,4.1475887,5.2789726,33.245518,0.1423613,0.06843352,0.30540824,0.26909095,3.3884377,0.93292147
110,3.8072925,2.6099415,4.8924227,0.011522662,4.2520866,5.348551,33.355186,0.14301577,0.07338774,0.27184945,0.44969478,2.6378684,0.6424243
